Fecha	Comprador	Vendedor	Jugador	Precio	Tipo	Foto
04/09/2020 - 21:25:00	Sabero Valley	futmondo	Weissman	9150000	COMPRA	https://static01.mondocore.com/futmondo/img/faces/64/42058078.png
23/08/2020 - 20:16:00	Sabero Valley	futmondo	Rubén García	28600001	COMPRA	https://static01.mondocore.com/futmondo/img/faces/64/67155012.png
03/09/2020 - 21:24:00	Ruben Esteban	futmondo	Pjanic	40282000	COMPRA	https://static01.mondocore.com/futmondo/img/faces/64/8438112.png
18/08/2020 - 20:13:00	cityods	futmondo	Junior Firpo	5111111	COMPRA	https://static01.mondocore.com/futmondo/img/faces/64/67222900.png
13/09/2020 - 21:29:00	echo de menos el Netliga	futmondo	Tello	3909090	COMPRA	https://static01.mondocore.com/futmondo/img/faces/64/67046417.png
06/09/2020 - 21:28:00	Huevo Frito C.F.	futmondo	Sergi Enrich	8306971	COMPRA	https://static01.mondocore.com/futmondo/img/faces/64/67018561.png
28/08/2020 - 21:16:00	Sabero Valley	futmondo	Andrés Fernández	1000010	COMPRA	https://static01.mondocore.com/futmondo/img/faces/64/67015052.png
19/08/2020 - 20:14:00	Pineda team	futmondo	Borja Mayoral	4000032	COMPRA	https://static01.mondocore.com/futmondo/img/faces/64/67211912.png
08/09/2020 - 22:04:00	futmondo	Maño's Team	Bacca	999994	COMPRA	https://static01.mondocore.com/futmondo/img/faces/64/76003938.png
07/09/2020 - 04:15:00	David Vidal Team	Hala Modric	Messi	100000000	COMPRA	https://static01.mondocore.com/futmondo/img/faces/64/7458500.png
08/09/2020 - 21:30:00	Ruben Esteban	futmondo	Zubeldia	8175000	COMPRA	https://static01.mondocore.com/futmondo/img/faces/64/67215898.png
21/08/2020 - 20:15:00	Maño's Team	futmondo	Tello	3000000	COMPRA	https://static01.mondocore.com/futmondo/img/faces/64/67046417.png
17/09/2020 - 21:29:00	Albar ÉldelBar	futmondo	Aitor Ruibal	1000000	COMPRA	https://static01.mondocore.com/futmondo/img/faces/64/67220941.png
14/09/2020 - 21:28:00	jglelxino17	futmondo	Óscar Rodríguez	24500064	COMPRA	https://static01.mondocore.com/futmondo/img/faces/64/67228635.png
20/08/2020 - 20:14:00	HOPE TEAM S.A	futmondo	Hazard	80000000	COMPRA	https://static01.mondocore.com/futmondo/img/faces/64/eden-hazard.png
16/09/2020 - 22:37:00	futmondo	Albar ÉldelBar	Kaptoum	1035570	COMPRA	https://static01.mondocore.com/futmondo/img/faces/64/67185039.png
19/08/2020 - 20:14:00	Sabero Valley	futmondo	Joaquín Fernández	4550001	COMPRA	https://static01.mondocore.com/futmondo/img/faces/64/67184200.png
17/09/2020 - 00:39:00	futmondo	Hala Modric	Lucas Vázquez	1167981	COMPRA	https://static01.mondocore.com/futmondo/img/faces/64/67135344.png
21/08/2020 - 20:15:00	Huevo Frito C.F.	futmondo	Gayá	25101001	COMPRA	https://static01.mondocore.com/futmondo/img/faces/64/67178177.png
23/08/2020 - 20:16:00	Luis Ragan	futmondo	Arambarri	15666666	COMPRA	https://static01.mondocore.com/futmondo/img/faces/64/78064881.png
19/09/2020 - 23:05:00	futmondo	jorgearaujopirez	Loren Morón	9974684	COMPRA	https://static01.mondocore.com/futmondo/img/faces/64/67181072.png
10/09/2020 - 04:45:00	futmondo	Pineda team	Chimy Ávila	34212725	COMPRA	https://static01.mondocore.com/futmondo/img/faces/64/14027117.png
21/08/2020 - 20:15:00	Maño's Team	futmondo	Bacca	3500000	COMPRA	https://static01.mondocore.com/futmondo/img/faces/64/76003938.png
24/08/2020 - 20:17:00	Pineda team	futmondo	Escudero	3000001	COMPRA	https://static01.mondocore.com/futmondo/img/faces/64/67065536.png
30/08/2020 - 21:40:00	futmondo	PaKeTeS ⚽️	James	4775741	COMPRA	https://static01.mondocore.com/futmondo/img/faces/64/james-rodriguez.png
19/08/2020 - 20:14:00	Pineda team	futmondo	Perea	1985858	COMPRA	https://static01.mondocore.com/futmondo/img/faces/64/67120790.png
14/09/2020 - 21:28:00	Maño's Team	futmondo	Moncayola	2000000	COMPRA	https://static01.mondocore.com/futmondo/img/faces/64/67267210.png
16/09/2020 - 15:05:00	Hala Modric	HOPE TEAM S.A	Claudio Bravo	10393595	COMPRA	https://static01.mondocore.com/futmondo/img/faces/64/5251774.png
28/08/2020 - 21:16:00	Maño's Team	futmondo	Pedro López	1864000	COMPRA	https://static01.mondocore.com/futmondo/img/faces/64/7452446.png
24/08/2020 - 20:17:00	Luis Ragan	futmondo	Íñigo Martínez	23666666	COMPRA	https://static01.mondocore.com/futmondo/img/faces/64/67104772.png
25/08/2020 - 21:14:00	Pineda team	futmondo	Mfulu	1230000	COMPRA	https://static01.mondocore.com/futmondo/img/faces/64/85080017.png
16/09/2020 - 21:29:00	PaKeTeS ⚽️	futmondo	Jurado	1000000	COMPRA	https://static01.mondocore.com/futmondo/img/faces/64/7451707.png
11/09/2020 - 02:57:00	futmondo	HOPE TEAM S.A	Januzaj	14950908	COMPRA	https://static01.mondocore.com/futmondo/img/faces/64/18054092.png
01/09/2020 - 21:22:00	Hala Modric	futmondo	Ocampos	62599999	COMPRA	https://static01.mondocore.com/futmondo/img/faces/64/lucas-ocampos.png
16/09/2020 - 15:05:00	HOPE TEAM S.A	Maño's Team	Sergio Herrera	8542473	COMPRA	https://static01.mondocore.com/futmondo/img/faces/64/67181753.png
12/09/2020 - 08:17:00	HOPE TEAM S.A	Luis Ragan	Enes Ünal	250000	COMPRA	https://static01.mondocore.com/futmondo/img/faces/64/70087488.png
24/08/2020 - 20:17:00	cityods	futmondo	Dembélé	14444444	COMPRA	https://static01.mondocore.com/futmondo/img/faces/64/85140178.png
12/09/2020 - 16:25:10	jglelxino17	Maño's Team	Kang-in Lee	8607304	CLAUSULA	null
07/09/2020 - 16:49:00	futmondo	HOPE TEAM S.A	Óscar Rodríguez	16174108	COMPRA	https://static01.mondocore.com/futmondo/img/faces/64/67228635.png
28/08/2020 - 21:16:00	PaKeTeS ⚽️	futmondo	Correa	11580000	COMPRA	https://static01.mondocore.com/futmondo/img/faces/64/14043349.png
08/09/2020 - 01:02:00	futmondo	Pineda team	Jony	1043904	COMPRA	https://static01.mondocore.com/futmondo/img/kits/64/elche.png
29/08/2020 - 02:44:00	futmondo	Luis Ragan	Vadillo	5963227	COMPRA	https://static01.mondocore.com/futmondo/img/faces/64/67140151.png
27/08/2020 - 21:15:00	Maño's Team	futmondo	Villalibre	1444444	COMPRA	https://static01.mondocore.com/futmondo/img/faces/64/67195730.png
20/09/2020 - 21:29:00	echo de menos el Netliga	futmondo	Sergio Gómez	1450000	COMPRA	https://static01.mondocore.com/futmondo/img/faces/64/67258414.png
09/09/2020 - 23:12:00	jglelxino17	HOPE TEAM S.A	Vinícius	25000000	COMPRA	https://static01.mondocore.com/futmondo/img/faces/64/19302146.png
10/09/2020 - 21:31:00	Pineda team	futmondo	Melero	1456789	COMPRA	https://static01.mondocore.com/futmondo/img/faces/64/67011235.png
18/08/2020 - 20:13:00	Gaditas FC	futmondo	Radoja	1920000	COMPRA	https://static01.mondocore.com/futmondo/img/faces/64/62056935.png
13/09/2020 - 12:53:00	futmondo	Hala Modric	Kadzior	2818849	COMPRA	https://static01.mondocore.com/futmondo/img/faces/64/damian-kadzior.png
19/09/2020 - 01:54:00	futmondo	Hala Modric	Yuri	26174425	COMPRA	https://static01.mondocore.com/futmondo/img/faces/64/67035000.png
31/08/2020 - 05:27:00	futmondo	Luis Ragan	Iborra	10257569	COMPRA	https://static01.mondocore.com/futmondo/img/faces/64/iborra.png
14/09/2020 - 05:47:00	futmondo	Pineda team	Juan Pérez	800000	COMPRA	https://static01.mondocore.com/futmondo/img/faces/64/67217545.png
23/08/2020 - 20:16:00	jglelxino17	futmondo	Dani Gómez	2200000	COMPRA	https://static01.mondocore.com/futmondo/img/kits/64/levante.png
22/08/2020 - 20:15:00	Maño's Team	futmondo	Roncaglia	2501000	COMPRA	https://static01.mondocore.com/futmondo/img/faces/64/14001537.png
04/09/2020 - 21:25:00	HOPE TEAM S.A	futmondo	Vinícius	22200000	COMPRA	https://static01.mondocore.com/futmondo/img/faces/64/19302146.png
28/08/2020 - 21:16:00	Gaditas FC	futmondo	Emre Mor	3500000	COMPRA	https://static01.mondocore.com/futmondo/img/faces/64/27102375.png
02/09/2020 - 21:23:00	jglelxino17	futmondo	Sanabria	4753698	COMPRA	https://static01.mondocore.com/futmondo/img/faces/64/67181404.png
13/09/2020 - 12:39:45	Pineda team	Sabero Valley	Ferreiro	9381521	CLAUSULA	null
10/09/2020 - 21:31:00	David Vidal Team	futmondo	Raúl García	52000130	COMPRA	https://static01.mondocore.com/futmondo/img/faces/64/1502117.png
27/08/2020 - 21:15:00	HOPE TEAM S.A	futmondo	Okazaki	4599999	COMPRA	https://static01.mondocore.com/futmondo/img/faces/64/788545.png
30/08/2020 - 21:18:00	Ruben Esteban	futmondo	David García	2017252	COMPRA	https://static01.mondocore.com/futmondo/img/faces/64/67215230.png
21/08/2020 - 20:15:00	Hala Modric	futmondo	Bigas	3359999	COMPRA	https://static01.mondocore.com/futmondo/img/faces/64/67122014.png
18/08/2020 - 20:13:00	cityods	futmondo	Odegaard	31100009	COMPRA	https://static01.mondocore.com/futmondo/img/faces/64/martin-degaard.png
14/09/2020 - 22:56:00	futmondo	PaKeTeS ⚽️	Piccini	932510	COMPRA	https://static01.mondocore.com/futmondo/img/faces/64/43052618.png
29/08/2020 - 02:44:00	futmondo	Luis Ragan	Iza	3194103	COMPRA	https://static01.mondocore.com/futmondo/img/faces/64/67175525.png
26/08/2020 - 21:15:00	Hala Modric	futmondo	Víctor Díaz	12159999	COMPRA	https://static01.mondocore.com/futmondo/img/faces/64/1510284.png
26/08/2020 - 21:15:00	cityods	futmondo	Edgar Badía	4666666	COMPRA	https://static01.mondocore.com/futmondo/img/faces/64/67080544.png
14/09/2020 - 21:28:00	David Vidal Team	futmondo	Adrián	5555555	COMPRA	https://static01.mondocore.com/futmondo/img/faces/64/1509231.png
22/08/2020 - 20:15:00	jglelxino17	futmondo	Pjanic	42000009	COMPRA	https://static01.mondocore.com/futmondo/img/faces/64/8438112.png
30/08/2020 - 21:18:00	Luis Ragan	futmondo	Battaglia	6222222	COMPRA	https://static01.mondocore.com/futmondo/img/faces/64/14025385.png
12/09/2020 - 19:13:33	echo de menos el Netliga	Pineda team	Sergio González	3980000	CLAUSULA	null
26/08/2020 - 21:15:00	jglelxino17	futmondo	Sancet	2000000	COMPRA	https://static01.mondocore.com/futmondo/img/faces/64/oihan-sancet.png
